"Deduction id","Role id","Name","Amount","Date","Employee id"
,,,,,
210001,3001,"Employee provident fund",300,2021-11-30,1
210002,2001,"Employee provident fund",200,2021-11-30,2
210003,1001,"Employee provident fund",100,2021-11-30,3
210004,4001,"Employee provident fund",400,2021-11-30,4
210005,2003,"Employee provident fund",200,2021-11-30,5
210006,3001,"Employee provident fund",300,2021-11-30,6
210007,5002,"Employee provident fund",500,2021-11-30,7
210008,2001,"Employee provident fund",200,2021-11-30,8
210009,3003,"Employee provident fund",300,2021-11-30,10
210010,2001,"Employee provident fund",200,2021-11-30,11
210011,5002,"Employee provident fund",500,2021-11-30,12
210012,4001,"Employee provident fund",400,2021-11-30,13
210013,3001,"Employee provident fund",300,2021-11-30,14
210014,2003,"Employee provident fund",200,2021-11-30,15
210015,1001,"Employee provident fund",100,2021-11-30,16
210016,5002,"Employee provident fund",500,2021-11-30,17
210017,4002,"Employee provident fund",400,2021-11-30,18
210018,3001,"Employee provident fund",300,2021-11-30,19
210019,2001,"Employee provident fund",200,2021-11-30,20
210020,1001,"Employee provident fund",100,2021-11-30,21
210021,5003,"Employee provident fund",500,2021-11-30,22
210022,4002,"Employee provident fund",400,2021-11-30,23
210023,3001,"Employee provident fund",300,2021-11-30,24
210024,2002,"Employee provident fund",200,2021-11-30,25
210025,1001,"Employee provident fund",100,2021-11-30,26
210026,1001,"Employee provident fund",100,2021-11-30,28
210027,2002,"Employee provident fund",200,2021-11-30,29
210028,5004,"Employee provident fund",500,2021-11-30,12
210029,3001,"Employee provident fund",300,2021-12-31,1
210030,2001,"Employee provident fund",200,2021-12-31,2
210031,1001,"Employee provident fund",100,2021-12-31,3
210032,4001,"Employee provident fund",400,2021-12-31,4
210033,2003,"Employee provident fund",200,2021-12-31,5
210034,3001,"Employee provident fund",300,2021-12-31,6
210035,5002,"Employee provident fund",500,2021-12-31,7
210036,2001,"Employee provident fund",200,2021-12-31,8
210037,2001,"Employee provident fund",200,2021-12-31,11
210038,5002,"Employee provident fund",500,2021-12-31,12
210039,4001,"Employee provident fund",400,2021-12-31,13
210040,3001,"Employee provident fund",300,2021-12-31,14
210041,2003,"Employee provident fund",200,2021-12-31,15
210042,1001,"Employee provident fund",100,2021-12-31,16
210043,5002,"Employee provident fund",500,2021-12-31,17
210044,4002,"Employee provident fund",400,2021-12-31,18
210045,3001,"Employee provident fund",300,2021-12-31,19
210046,2001,"Employee provident fund",200,2021-12-31,20
210047,1001,"Employee provident fund",100,2021-12-31,21
210048,5003,"Employee provident fund",500,2021-12-31,22
210049,4002,"Employee provident fund",400,2021-12-31,23
210050,3001,"Employee provident fund",300,2021-12-31,24
210051,2002,"Employee provident fund",200,2021-12-31,25
210052,1001,"Employee provident fund",100,2021-12-31,26
210053,1001,"Employee provident fund",100,2021-12-31,28
210054,2002,"Employee provident fund",200,2021-12-31,29
210055,5004,"Employee provident fund",500,2021-12-31,12
